,precision,recall,f1-score,support
057a08,0.0,0.0,0.0,1.0
1b76f2,0.5,1.0,0.67,1.0
29b850,1.0,1.0,1.0,1.0
403c1e,0.9,0.95,0.92,19.0
43f9ea,0.0,0.0,0.0,1.0
546831,0.0,0.0,0.0,1.0
78899c,0.0,0.0,0.0,1.0
79d543,0.0,0.0,0.0,1.0
7bd0b3,0.5,0.5,0.5,2.0
837c92,1.0,1.0,1.0,1.0
a0d9cc,0.0,0.0,0.0,1.0
b1b825,0.0,0.0,0.0,1.0
b1f27c,0.0,0.0,0.0,0.0
b87dd0,0.83,0.83,0.83,6.0
c3c8cb,0.0,0.0,0.0,1.0
d5e3ab,0.62,0.83,0.71,6.0
ef759d,1.0,1.0,1.0,1.0
macro avg,0.73,0.73,0.73,0.73
weighted avg,0.37,0.42,0.39,45.0
accuracy,0.67,0.73,0.7,45.0
